"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"AFG","Afghanistan",32.2240642444441,32.2155915000129,32.2530400889215,32.3813344958944,32.4455309205702,32.5136771393557,32.9013249714825,33.3044134245983,33.9701032525988,34.5510931781029,31.6262796113329,30.2031638224691,30.1570574828283,29.7758733551242,29.9402860521781,30.3498635627356,29.4915082896529,29.9878660824766,29.9333855098464,30.9027430725473,31.0728773432415,31.863308651375,31.1493454500882,30.9290964800398,31.4734515643836,31.7069991115188,31.7070027903888,33.0117368826949,33.0585165373327,33.0241264018046
"ALB","Albania",41.3785456864873,41.460896043928,41.4071134468032,41.157112003033,40.6231045522671,40.4338790152918,40.7970810146573,41.3665596777639,41.6109021482303,42.3831031703152,42.1228153279591,41.7976993437676,42.4636267111759,43.215324694476,44.2105752007618,44.6625772478022,44.7411204203287,45.2479859144134,45.7686137495197,47.31971194836,47.972957466322,47.7198509719987,47.6975223273638,48.3110407244735,48.295110671689,48.5152364458785,49.401185893512,51.830062230906,52.0376392186218,52.582838821604
"DZA","Algeria",41.5992284375897,41.6982647406221,41.4729500292634,41.352353719363,41.6732599853461,41.9426295115442,42.197596639152,42.393107977183,42.8497784686134,43.3905313575123,43.4407352943217,42.3181287572464,42.442789025213,42.4832219803464,42.2714751326372,41.8555814419155,41.3079468805322,41.4838117020433,42.1461889430083,42.0409763956631,42.4271788227923,42.8716001305576,43.9579039112033,44.0447784511546,43.6750785054323,44.9786832552815,45.2074979484118,46.9620829867378,47.2672325620768,47.4121674056738
"AND","Andorra",49.6994033996359,49.737767147447,49.8020874574107,50.3379472123473,50.5054875632051,51.9336294769175,52.175584196313,52.4864250733099,52.7712814655567,51.9053879337693,54.1425908656967,54.7115544435716,55.8865479595834,55.9657400167947,56.3194028555916,56.5542355635054,57.1740298946635,57.3546651436389,58.5973490042038,57.9752994592964,58.3617773519898,58.7063829661672,59.1245325849976,59.3079500401453,60.5185501904211,60.5694863713738,60.570003041817,61.3636728677827,62.7330731084949,63.0179996354563
"AGO","Angola",33.4966398420235,33.4791246190712,33.4057463957293,33.3321514909864,33.3247515711701,33.3137604744044,33.6182419849878,34.1316469824892,34.5664640711598,35.2755861363774,34.6715497600099,33.3043312970155,33.7517437950126,34.1171735530412,34.1726500266176,33.3564044211435,33.4038569778022,34.05161531831,34.247924485465,34.2526729997879,33.9046579517933,35.2372913582264,35.3954327884489,35.9571194165241,36.3189493759428,36.3146334430187,36.6612274511189,36.4421751502426,36.5212347089693,36.4469774643548
"ATG","Antigua and Barbuda",47.1692361609372,47.2046698763461,47.2932706025832,47.3366268193917,47.3570036448502,47.4353838417157,47.5222103521899,47.7006903258925,47.82846840142,47.421735626143,49.224962049731,48.372190537295,48.5300658562894,48.6483649640533,48.8164863927931,49.7969616710523,49.3697664473707,49.9467496488511,49.9065128611531,48.932843273767,48.9060116866072,48.7544393886626,47.7113935655629,48.2159199190936,48.5628042807956,48.4059737957245,48.3480704526002,47.8492572878814,47.8829330201879,47.7960542251904
"ARG","Argentina",48.2553703228876,48.3863777168874,48.1313663644062,47.964079585419,47.9345157916774,47.955104231328,46.7463350480516,45.9085397798659,46.5183110379214,46.8289534050421,47.9852562293623,46.8476140084882,47.4154088308956,47.0063892331161,46.9149317226916,47.2098192678994,47.3148402914311,47.1053151194533,46.4625206498542,46.0394487520684,46.3984390220537,48.2060397114346,48.4167396641899,48.4614372897514,48.4757515049801,48.7519135109335,48.4969268707884,50.1723181866575,50.1948556206743,50.3761630446415
"ARM","Armenia",46.2011193950249,46.4853257408013,46.3428271108016,47.2270954892092,47.5180743931736,47.4130930465664,47.788580976371,49.7284515649333,50.1830015591102,50.095066610283,50.8841923531436,50.0366194837963,50.2661340066556,51.3698816348452,51.3019215306849,51.7542123405301,51.7086827655288,51.9877547259294,52.8304082671444,53.5469300262477,54.0860841254314,54.5629863439777,54.6427221681505,55.0522443315001,55.5534613505871,55.1069382060674,55.21359780207,53.118338970945,53.20190774413,53.1622770127216
"AUS","Australia",63.9075107009069,63.9372013606008,64.0365324241915,64.3443748479576,64.6112371333868,64.9407098767786,65.1354464207519,65.221579558909,65.4376125344338,65.4188182006728,65.8401347307347,67.9079404956121,68.3329749469907,68.7215448140069,68.1218273205792,68.3899209672402,68.432293999215,68.759690920738,69.2348594027336,69.2131907011119,69.1106829891206,69.0986858448178,68.3747007742323,69.2568596559842,69.3253810615612,68.7865904776142,69.5165844740761,67.7367357104244,68.0001672961842,67.9174446136499
"AUT","Austria",63.7075372052625,63.9693732572193,64.1204646786953,64.102623712429,64.4285771737949,64.7232224273533,65.0465196001206,65.26911522629,65.2167278391104,65.2162419205295,65.8638507314469,67.4506284417433,67.9913441694787,67.8404572950708,67.1786020101695,67.5133591184945,67.3970057906214,67.4740125424074,68.0950084381157,68.6405334180973,68.7792148786115,68.0907284344924,68.194768301117,68.2633328087944,68.0611043828768,68.1333039991112,68.107753567518,67.8091671551451,67.9078692292623,67.7973086151723
