source_file,year,objective,donor,recipient_scope,sector_scope,allocable_scope,marker,amount_type,unit,principal,significant,screened_not_targeted,not_screened,climate_targeted_total_usd_millions_2019,all_screened_total_usd_millions_2019
2009Adaptation.xls,2009,Adaptation,"DAC members, Total","Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",18.669365,0.002561,143.550359,90599.843129,18.671926,90762.065414
2009Adaptation.xls,2009,Adaptation,Australia,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,3025.062458,,3025.062458
2009Adaptation.xls,2009,Adaptation,Austria,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,344.692246,,344.692246
2009Adaptation.xls,2009,Adaptation,Belgium,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,1335.389457,,1335.389457
2009Adaptation.xls,2009,Adaptation,Canada,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,143.550359,2652.852949,,2796.403308
2009Adaptation.xls,2009,Adaptation,Denmark,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,1197.916857,,1197.916857
2009Adaptation.xls,2009,Adaptation,Finland,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,870.71762,,870.71762
2009Adaptation.xls,2009,Adaptation,France,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,5705.643425,,5705.643425
2009Adaptation.xls,2009,Adaptation,Germany,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,7755.874116,,7755.874116
2009Adaptation.xls,2009,Adaptation,Greece,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,171.230781,,171.230781
2009Adaptation.xls,2009,Adaptation,Ireland,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,457.134638,,457.134638
2009Adaptation.xls,2009,Adaptation,Italy,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,657.911635,,657.911635
2009Adaptation.xls,2009,Adaptation,Japan,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,9355.451876,,9355.451876
2009Adaptation.xls,2009,Adaptation,Korea,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,1761.909412,,1761.909412
2009Adaptation.xls,2009,Adaptation,Luxembourg,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,185.638453,,185.638453
2009Adaptation.xls,2009,Adaptation,Netherlands,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,3406.167625,,3406.167625
2009Adaptation.xls,2009,Adaptation,New Zealand,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,235.243341,,235.243341
2009Adaptation.xls,2009,Adaptation,Norway,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,2411.542038,,2411.542038
2009Adaptation.xls,2009,Adaptation,Portugal,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,252.423724,,252.423724
2009Adaptation.xls,2009,Adaptation,Spain,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,2553.632691,,2553.632691
2009Adaptation.xls,2009,Adaptation,Sweden,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,1558.83764,,1558.83764
2009Adaptation.xls,2009,Adaptation,Switzerland,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,948.249566,,948.249566
2009Adaptation.xls,2009,Adaptation,United Kingdom,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",18.669365,0.002561,,7986.961142,18.671926,8005.633068
2009Adaptation.xls,2009,Adaptation,United States,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,25081.846478,,25081.846478
2009Adaptation.xls,2009,Adaptation,EU Institutions,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,10687.512945,,10687.512945
2009Adaptation.xls,2009,Adaptation,Data extracted on 16 Jun 2021 02:53 UTC (GMT) from OECD.Stat,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,,,
2009Mitigation.xls,2009,Mitigation,"DAC members, Total","Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",6026.45813,2892.186407,46060.120626,35783.30024,8918.644537,90762.065403
2009Mitigation.xls,2009,Mitigation,Australia,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",116.358079,260.935271,2647.769108,,377.29335000000003,3025.062458
2009Mitigation.xls,2009,Mitigation,Austria,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",15.996678,11.372659,190.29145,127.031458,27.369337,344.692245
2009Mitigation.xls,2009,Mitigation,Belgium,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",14.887261,70.575466,1249.92673,,85.462727,1335.389457
2009Mitigation.xls,2009,Mitigation,Canada,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",3.315396,192.481942,2600.605966,,195.797338,2796.403304
2009Mitigation.xls,2009,Mitigation,Denmark,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",45.737806,218.331508,910.930315,22.917229,264.069314,1197.9168579999998
2009Mitigation.xls,2009,Mitigation,Finland,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",47.570877,117.053596,706.093145,,164.624473,870.717618
