ISO_3DIGIT,Timeperiod_Variable_month_scenario_ensemble,Value
ABW,2020-2040_pr_01__a2_10th,-4.6616153717
AFG,2020-2040_pr_01__a2_10th,-6.31460572481
AGO,2020-2040_pr_01__a2_10th,-23.8116022951
AIA,2020-2040_pr_01__a2_10th,-10.6603469848
ALB,2020-2040_pr_01__a2_10th,-18.1455292268
AND,2020-2040_pr_01__a2_10th,-5.00673818588
ANT,2020-2040_pr_01__a2_10th,-5.57124209404
ARE,2020-2040_pr_01__a2_10th,-1.6805742383
ARG,2020-2040_pr_01__a2_10th,-11.6436706596
ARM,2020-2040_pr_01__a2_10th,-1.55825536166
ASM,2020-2040_pr_01__a2_10th,-23.1308612823
ATG,2020-2040_pr_01__a2_10th,-10.8294181824
AUS,2020-2040_pr_01__a2_10th,-15.6445448865
AUT,2020-2040_pr_01__a2_10th,-5.68125209055
AZE,2020-2040_pr_01__a2_10th,-1.6803952314
BDI,2020-2040_pr_01__a2_10th,-18.9859981537
BEL,2020-2040_pr_01__a2_10th,-5.13623806409
BEN,2020-2040_pr_01__a2_10th,-1.60942739511
BFA,2020-2040_pr_01__a2_10th,-0.600349825025
BGD,2020-2040_pr_01__a2_10th,-13.6090493202
BGR,2020-2040_pr_01__a2_10th,-6.20686926048
BHR,2020-2040_pr_01__a2_10th,-1.51382851601
BHS,2020-2040_pr_01__a2_10th,-18.0556330681
BIH,2020-2040_pr_01__a2_10th,-10.3303480515
BLR,2020-2040_pr_01__a2_10th,-1.36138460554
BLZ,2020-2040_pr_01__a2_10th,-10.9671914578
BMU,2020-2040_pr_01__a2_10th,-17.4984474182
BOL,2020-2040_pr_01__a2_10th,-20.9906224558
BRA,2020-2040_pr_01__a2_10th,-23.9231378271
BRB,2020-2040_pr_01__a2_10th,-6.16587114334
BRN,2020-2040_pr_01__a2_10th,-46.8073320389
BTN,2020-2040_pr_01__a2_10th,-14.6217166583
BWA,2020-2040_pr_01__a2_10th,-24.6861576667
CAF,2020-2040_pr_01__a2_10th,-2.90825472325
CAN,2020-2040_pr_01__a2_10th,-2.24993022836
CCK,2020-2040_pr_01__a2_10th,-27.5814990997
CHE,2020-2040_pr_01__a2_10th,-10.0380484899
CHL,2020-2040_pr_01__a2_10th,-14.246520479
CHN,2020-2040_pr_01__a2_10th,-6.23621847843
CIV,2020-2040_pr_01__a2_10th,-3.55566368236
CMR,2020-2040_pr_01__a2_10th,-5.35602294929
COD,2020-2040_pr_01__a2_10th,-13.7403843534
COG,2020-2040_pr_01__a2_10th,-14.1913555527
COK,2020-2040_pr_01__a2_10th,-25.7303459168
COL,2020-2040_pr_01__a2_10th,-10.1497218576
COM,2020-2040_pr_01__a2_10th,-16.8138656616
CPV,2020-2040_pr_01__a2_10th,-1.72665375471
CRI,2020-2040_pr_01__a2_10th,-6.34406609535
CUB,2020-2040_pr_01__a2_10th,-16.6500146172
CXR,2020-2040_pr_01__a2_10th,-22.1547927856
CYM,2020-2040_pr_01__a2_10th,-19.1812915802
CYP,2020-2040_pr_01__a2_10th,-16.9327294827
CZE,2020-2040_pr_01__a2_10th,-2.54109514461
DEU,2020-2040_pr_01__a2_10th,-4.06302378129
DJI,2020-2040_pr_01__a2_10th,-0.87472334504
DMA,2020-2040_pr_01__a2_10th,-11.9439287186
DNK,2020-2040_pr_01__a2_10th,-2.86328529318
DOM,2020-2040_pr_01__a2_10th,-8.32836842536
DZA,2020-2040_pr_01__a2_10th,-2.89902747066
ECU,2020-2040_pr_01__a2_10th,-11.6015861242
EGY,2020-2040_pr_01__a2_10th,-1.8097188573
ERI,2020-2040_pr_01__a2_10th,-1.21027622725
ESH,2020-2040_pr_01__a2_10th,-1.61429889128
ESP,2020-2040_pr_01__a2_10th,-15.5262872979
EST,2020-2040_pr_01__a2_10th,-0.880679166565
ETH,2020-2040_pr_01__a2_10th,-2.37891256527
FIN,2020-2040_pr_01__a2_10th,-1.72615641366
FJI,2020-2040_pr_01__a2_10th,-13.7948405147
FLK,2020-2040_pr_01__a2_10th,-5.65733877818
FRA,2020-2040_pr_01__a2_10th,-12.880947276
FRO,2020-2040_pr_01__a2_10th,-4.76354360581
FSM,2020-2040_pr_01__a2_10th,-26.876039505
GAB,2020-2040_pr_01__a2_10th,-16.102565829
GBR,2020-2040_pr_01__a2_10th,-4.86734624207
GEO,2020-2040_pr_01__a2_10th,-2.27330226898
GHA,2020-2040_pr_01__a2_10th,-3.0232373598
GIB,2020-2040_pr_01__a2_10th,-15.7137699127
GIN,2020-2040_pr_01__a2_10th,-2.47491427158
GLP,2020-2040_pr_01__a2_10th,-11.9439287186
GMB,2020-2040_pr_01__a2_10th,-1.10833358765
GNB,2020-2040_pr_01__a2_10th,-1.38334814708
GNQ,2020-2040_pr_01__a2_10th,-14.2352560361
GRC,2020-2040_pr_01__a2_10th,-11.5386675426
GRD,2020-2040_pr_01__a2_10th,-7.49065828323
GRL,2020-2040_pr_01__a2_10th,-4.19004156886
GTM,2020-2040_pr_01__a2_10th,-10.836873591
GUF,2020-2040_pr_01__a2_10th,-23.1265191237
GUM,2020-2040_pr_01__a2_10th,-17.8542499542
GUY,2020-2040_pr_01__a2_10th,-13.3314693967
HND,2020-2040_pr_01__a2_10th,-10.2196610451
HRV,2020-2040_pr_01__a2_10th,-9.65963037808
HTI,2020-2040_pr_01__a2_10th,-8.01207470895
HUN,2020-2040_pr_01__a2_10th,-3.05935602188
IDN,2020-2040_pr_01__a2_10th,-35.8139004764
IMY,2020-2040_pr_01__a2_10th,-3.60196876526
IND,2020-2040_pr_01__a2_10th,-11.3687532837
IOT,2020-2040_pr_01__a2_10th,-9.33410358429
IRL,2020-2040_pr_01__a2_10th,-3.92247406794
IRN,2020-2040_pr_01__a2_10th,-4.18736683062
IRQ,2020-2040_pr_01__a2_10th,-3.5942252179
ISL,2020-2040_pr_01__a2_10th,-7.31389904022
ISR,2020-2040_pr_01__a2_10th,-6.35496858188
ITA,2020-2040_pr_01__a2_10th,-13.7625369799
JAM,2020-2040_pr_01__a2_10th,-10.5121083259
JOR,2020-2040_pr_01__a2_10th,-3.97455918789
JPN,2020-2040_pr_01__a2_10th,-14.0437441437
KAZ,2020-2040_pr_01__a2_10th,-1.50154287193
KEN,2020-2040_pr_01__a2_10th,-5.75470892243
KGZ,2020-2040_pr_01__a2_10th,1.40514079162
KHM,2020-2040_pr_01__a2_10th,-14.9374059439
KIR,2020-2040_pr_01__a2_10th,-23.2986888886
KNA,2020-2040_pr_01__a2_10th,-9.71490764618
KOR,2020-2040_pr_01__a2_10th,-10.2471489473
KSV,2020-2040_pr_01__a2_10th,-12.4877493117
KWT,2020-2040_pr_01__a2_10th,-3.05308445295
LAO,2020-2040_pr_01__a2_10th,-9.46173052952
LBN,2020-2040_pr_01__a2_10th,-9.28555774689
LBR,2020-2040_pr_01__a2_10th,-6.95649013152
LBY,2020-2040_pr_01__a2_10th,-1.58088693448
LCA,2020-2040_pr_01__a2_10th,-6.76459717751
LIE,2020-2040_pr_01__a2_10th,-5.459836483
LKA,2020-2040_pr_01__a2_10th,-31.8651115417
LSO,2020-2040_pr_01__a2_10th,-22.9480571747
LTU,2020-2040_pr_01__a2_10th,-0.52468523259
LUX,2020-2040_pr_01__a2_10th,-4.56017446518
LVA,2020-2040_pr_01__a2_10th,-0.255239676684
MAR,2020-2040_pr_01__a2_10th,-6.69400049077
MCO,2020-2040_pr_01__a2_10th,-18.5092716217
MDA,2020-2040_pr_01__a2_10th,-1.73173077405
MDG,2020-2040_pr_01__a2_10th,-20.2844425765
MDV,2020-2040_pr_01__a2_10th,-24.2961606979
MEX,2020-2040_pr_01__a2_10th,-18.5937751134
MHL,2020-2040_pr_01__a2_10th,-15.5732017755
MKD,2020-2040_pr_01__a2_10th,-13.0664197698
MLI,2020-2040_pr_01__a2_10th,-0.718731200383
MLT,2020-2040_pr_01__a2_10th,-12.8153400421
MMR,2020-2040_pr_01__a2_10th,-9.03400684504
MNE,2020-2040_pr_01__a2_10th,-16.3605158064
MNG,2020-2040_pr_01__a2_10th,-0.0552285513963
MNP,2020-2040_pr_01__a2_10th,-13.6487541199
MOZ,2020-2040_pr_01__a2_10th,-19.4210320986
MRT,2020-2040_pr_01__a2_10th,-1.29314773451
MSR,2020-2040_pr_01__a2_10th,-11.9439287186
MTQ,2020-2040_pr_01__a2_10th,-6.76459717751
MUS,2020-2040_pr_01__a2_10th,-27.2541160584
