ISO_3DIGIT,Timeperiod_Variable_month_scenario_ensemble,Value
ABW,2020-2040_tas_01__a2_10th,0.750689685345
AFG,2020-2040_tas_01__a2_10th,0.795792286595
AGO,2020-2040_tas_01__a2_10th,0.802479030104
AIA,2020-2040_tas_01__a2_10th,0.71255800128
ALB,2020-2040_tas_01__a2_10th,0.37436801737
AND,2020-2040_tas_01__a2_10th,0.526037573814
ANT,2020-2040_tas_01__a2_10th,0.705834954977
ARE,2020-2040_tas_01__a2_10th,0.784030599254
ARG,2020-2040_tas_01__a2_10th,0.665981062548
ARM,2020-2040_tas_01__a2_10th,0.401792690158
ASM,2020-2040_tas_01__a2_10th,0.691668689251
ATG,2020-2040_tas_01__a2_10th,0.714123547077
AUS,2020-2040_tas_01__a2_10th,0.72275669209
AUT,2020-2040_tas_01__a2_10th,0.501845511951
AZE,2020-2040_tas_01__a2_10th,0.391748049855
BDI,2020-2040_tas_01__a2_10th,0.794489753246
BEL,2020-2040_tas_01__a2_10th,0.516912400722
BEN,2020-2040_tas_01__a2_10th,0.131364892675
BFA,2020-2040_tas_01__a2_10th,0.294638187848
BGD,2020-2040_tas_01__a2_10th,0.205689785204
BGR,2020-2040_tas_01__a2_10th,0.440334061781
BHR,2020-2040_tas_01__a2_10th,0.678655982018
BHS,2020-2040_tas_01__a2_10th,0.571364592761
BIH,2020-2040_tas_01__a2_10th,0.288583138814
BLR,2020-2040_tas_01__a2_10th,0.779211212849
BLZ,2020-2040_tas_01__a2_10th,0.690031439066
BMU,2020-2040_tas_01__a2_10th,0.423089593649
BOL,2020-2040_tas_01__a2_10th,0.8757014906
BRA,2020-2040_tas_01__a2_10th,0.749045032861
BRB,2020-2040_tas_01__a2_10th,0.682458519936
BRN,2020-2040_tas_01__a2_10th,0.645376600325
BTN,2020-2040_tas_01__a2_10th,0.537123625477
BWA,2020-2040_tas_01__a2_10th,0.895112642875
CAF,2020-2040_tas_01__a2_10th,0.547788843512
CAN,2020-2040_tas_01__a2_10th,0.500024444917
CCK,2020-2040_tas_01__a2_10th,0.670959472656
CHE,2020-2040_tas_01__a2_10th,0.518017570178
CHL,2020-2040_tas_01__a2_10th,0.605818999998
CHN,2020-2040_tas_01__a2_10th,0.619389989768
CIV,2020-2040_tas_01__a2_10th,-0.0802049430294
CMR,2020-2040_tas_01__a2_10th,0.586229803122
COD,2020-2040_tas_01__a2_10th,0.765199359302
COG,2020-2040_tas_01__a2_10th,0.743137695789
COK,2020-2040_tas_01__a2_10th,0.628012692928
COL,2020-2040_tas_01__a2_10th,0.841307404141
COM,2020-2040_tas_01__a2_10th,0.680780053139
CPV,2020-2040_tas_01__a2_10th,0.531432072322
CRI,2020-2040_tas_01__a2_10th,0.860453486442
CUB,2020-2040_tas_01__a2_10th,0.6018904285
CXR,2020-2040_tas_01__a2_10th,0.719464123249
CYM,2020-2040_tas_01__a2_10th,0.593579113483
CYP,2020-2040_tas_01__a2_10th,0.408724971115
CZE,2020-2040_tas_01__a2_10th,0.45555778812
DEU,2020-2040_tas_01__a2_10th,0.509563958158
DJI,2020-2040_tas_01__a2_10th,0.711315929889
DMA,2020-2040_tas_01__a2_10th,0.726623535156
DNK,2020-2040_tas_01__a2_10th,0.580052693685
DOM,2020-2040_tas_01__a2_10th,0.732617189487
DZA,2020-2040_tas_01__a2_10th,0.549531996912
ECU,2020-2040_tas_01__a2_10th,0.82997594709
EGY,2020-2040_tas_01__a2_10th,0.65406238816
ERI,2020-2040_tas_01__a2_10th,0.718673232355
ESH,2020-2040_tas_01__a2_10th,0.665130997077
ESP,2020-2040_tas_01__a2_10th,0.460244173134
EST,2020-2040_tas_01__a2_10th,1.07892405987
ETH,2020-2040_tas_01__a2_10th,0.770543608311
FIN,2020-2040_tas_01__a2_10th,1.62941107858
FJI,2020-2040_tas_01__a2_10th,0.617611691356
FLK,2020-2040_tas_01__a2_10th,0.271295169989
FRA,2020-2040_tas_01__a2_10th,0.555198109603
FRO,2020-2040_tas_01__a2_10th,0.185101322829
FSM,2020-2040_tas_01__a2_10th,0.652119974296
GAB,2020-2040_tas_01__a2_10th,0.730278110504
GBR,2020-2040_tas_01__a2_10th,0.405216215178
GEO,2020-2040_tas_01__a2_10th,0.390859378378
GHA,2020-2040_tas_01__a2_10th,-0.0656813191758
GIB,2020-2040_tas_01__a2_10th,0.395306408405
GIN,2020-2040_tas_01__a2_10th,0.0885968655348
GLP,2020-2040_tas_01__a2_10th,0.726623535156
GMB,2020-2040_tas_01__a2_10th,0.600223799546
GNB,2020-2040_tas_01__a2_10th,0.415757930941
GNQ,2020-2040_tas_01__a2_10th,0.679019168019
GRC,2020-2040_tas_01__a2_10th,0.390595571271
GRD,2020-2040_tas_01__a2_10th,0.747283935547
GRL,2020-2040_tas_01__a2_10th,-0.0915183515643
GTM,2020-2040_tas_01__a2_10th,0.711229324341
GUF,2020-2040_tas_01__a2_10th,0.760554507375
GUM,2020-2040_tas_01__a2_10th,0.553424060345
GUY,2020-2040_tas_01__a2_10th,0.835269672175
HND,2020-2040_tas_01__a2_10th,0.787729899089
HRV,2020-2040_tas_01__a2_10th,0.339191352328
HTI,2020-2040_tas_01__a2_10th,0.728713974356
HUN,2020-2040_tas_01__a2_10th,0.355767828226
IDN,2020-2040_tas_01__a2_10th,0.66584228113
IMY,2020-2040_tas_01__a2_10th,0.571368396282
IND,2020-2040_tas_01__a2_10th,0.553718608795
IOT,2020-2040_tas_01__a2_10th,0.761096179485
IRL,2020-2040_tas_01__a2_10th,0.328003403086
IRN,2020-2040_tas_01__a2_10th,0.559197259146
IRQ,2020-2040_tas_01__a2_10th,0.552314252489
ISL,2020-2040_tas_01__a2_10th,0.243327331419
ISR,2020-2040_tas_01__a2_10th,0.480880303042
ITA,2020-2040_tas_01__a2_10th,0.444511485596
JAM,2020-2040_tas_01__a2_10th,0.671072363854
JOR,2020-2040_tas_01__a2_10th,0.525010991096
JPN,2020-2040_tas_01__a2_10th,0.745933773486
KAZ,2020-2040_tas_01__a2_10th,0.867742754081
KEN,2020-2040_tas_01__a2_10th,0.695291000864
KGZ,2020-2040_tas_01__a2_10th,0.892631745764
KHM,2020-2040_tas_01__a2_10th,0.213451383868
KIR,2020-2040_tas_01__a2_10th,0.547494500876
KNA,2020-2040_tas_01__a2_10th,0.701623558998
KOR,2020-2040_tas_01__a2_10th,0.805367756974
KSV,2020-2040_tas_01__a2_10th,0.399955921703
KWT,2020-2040_tas_01__a2_10th,0.643042008082
LAO,2020-2040_tas_01__a2_10th,-0.171904044419
LBN,2020-2040_tas_01__a2_10th,0.415838629007
LBR,2020-2040_tas_01__a2_10th,0.0875004688279
LBY,2020-2040_tas_01__a2_10th,0.543885477419
LCA,2020-2040_tas_01__a2_10th,0.68983155489
LIE,2020-2040_tas_01__a2_10th,0.484082043171
LKA,2020-2040_tas_01__a2_10th,0.607854008675
LSO,2020-2040_tas_01__a2_10th,0.620028704405
LTU,2020-2040_tas_01__a2_10th,0.87570699056
LUX,2020-2040_tas_01__a2_10th,0.467639148235
LVA,2020-2040_tas_01__a2_10th,1.00855272015
MAR,2020-2040_tas_01__a2_10th,0.580488116577
MCO,2020-2040_tas_01__a2_10th,0.589654564857
MDA,2020-2040_tas_01__a2_10th,0.389116667211
MDG,2020-2040_tas_01__a2_10th,0.60526081581
MDV,2020-2040_tas_01__a2_10th,0.652597814798
MEX,2020-2040_tas_01__a2_10th,0.515074236525
MHL,2020-2040_tas_01__a2_10th,0.708058930933
MKD,2020-2040_tas_01__a2_10th,0.415027211694
MLI,2020-2040_tas_01__a2_10th,0.515038964249
MLT,2020-2040_tas_01__a2_10th,0.356311023235
MMR,2020-2040_tas_01__a2_10th,0.248484636471
MNE,2020-2040_tas_01__a2_10th,0.308009170823
MNG,2020-2040_tas_01__a2_10th,0.709221628124
MNP,2020-2040_tas_01__a2_10th,0.541067510843
MOZ,2020-2040_tas_01__a2_10th,0.740394754593
MRT,2020-2040_tas_01__a2_10th,0.599615349415
MSR,2020-2040_tas_01__a2_10th,0.726623535156
MTQ,2020-2040_tas_01__a2_10th,0.68983155489
MUS,2020-2040_tas_01__a2_10th,0.538781732321
MWI,2020-2040_tas_01__a2_10th,0.774837113917
MYS,2020-2040_tas_01__a2_10th,0.646976324916
MYT,2020-2040_tas_01__a2_10th,0.685827612877
NAM,2020-2040_tas_01__a2_10th,0.802456405014
NCL,2020-2040_tas_01__a2_10th,0.533442179362
NER,2020-2040_tas_01__a2_10th,0.683772119469
NFK,2020-2040_tas_01__a2_10th,0.553509533405
NGA,2020-2040_tas_01__a2_10th,0.39458523329
NIC,2020-2040_tas_01__a2_10th,0.857503507286
NIU,2020-2040_tas_01__a2_10th,0.643933087588
NLD,2020-2040_tas_01__a2_10th,0.534338373404
NOR,2020-2040_tas_01__a2_10th,1.15090435743
NPL,2020-2040_tas_01__a2_10th,0.60216396302
NRU,2020-2040_tas_01__a2_10th,0.43265992403
NZL,2020-2040_tas_01__a2_10th,0.438664900405
OMN,2020-2040_tas_01__a2_10th,0.735016230275
PAK,2020-2040_tas_01__a2_10th,0.880794736205
PAN,2020-2040_tas_01__a2_10th,0.80578994751
PCN,2020-2040_tas_01__a2_10th,0.380896002054
PER,2020-2040_tas_01__a2_10th,0.866270055522
PHL,2020-2040_tas_01__a2_10th,0.562052563979
PLW,2020-2040_tas_01__a2_10th,0.596813976765
PNG,2020-2040_tas_01__a2_10th,0.657944055314
POL,2020-2040_tas_01__a2_10th,0.499147208201
PRI,2020-2040_tas_01__a2_10th,0.729949951171
PRK,2020-2040_tas_01__a2_10th,0.888767766325
PRT,2020-2040_tas_01__a2_10th,0.379845487384
PRY,2020-2040_tas_01__a2_10th,0.518551634418
PSE,2020-2040_tas_01__a2_10th,0.415588378906
PYF,2020-2040_tas_01__a2_10th,0.662395012379
QAT,2020-2040_tas_01__a2_10th,0.697053521872
REU,2020-2040_tas_01__a2_10th,0.489358529449
ROU,2020-2040_tas_01__a2_10th,0.338524835353
RUS,2020-2040_tas_01__a2_10th,1.38606731117
RWA,2020-2040_tas_01__a2_10th,0.794445812702
SAU,2020-2040_tas_01__a2_10th,0.624539185203
SDN,2020-2040_tas_01__a2_10th,0.702525530953
SEN,2020-2040_tas_01__a2_10th,0.481302995573
SGP,2020-2040_tas_01__a2_10th,0.594323754311
SHN,2020-2040_tas_01__a2_10th,0.597137451172
SJM,2020-2040_tas_01__a2_10th,1.77517720475
SLB,2020-2040_tas_01__a2_10th,0.685093554584
SLE,2020-2040_tas_01__a2_10th,0.12663268844
SLV,2020-2040_tas_01__a2_10th,0.845306396485
SMR,2020-2040_tas_01__a2_10th,0.560107409954
SOM,2020-2040_tas_01__a2_10th,0.772528403514
SPM,2020-2040_tas_01__a2_10th,0.145983882248
SRB,2020-2040_tas_01__a2_10th,0.38887043111
SSD,2020-2040_tas_01__a2_10th,0.618295372338
STP,2020-2040_tas_01__a2_10th,0.563787847758
SUR,2020-2040_tas_01__a2_10th,0.728787571192
SVK,2020-2040_tas_01__a2_10th,0.349187682975
SVN,2020-2040_tas_01__a2_10th,0.504648844401
SWE,2020-2040_tas_01__a2_10th,1.16573785386
SWZ,2020-2040_tas_01__a2_10th,0.673440555731
SYC,2020-2040_tas_01__a2_10th,0.73296815157
SYR,2020-2040_tas_01__a2_10th,0.447694706917
TCA,2020-2040_tas_01__a2_10th,0.653454601765
TCD,2020-2040_tas_01__a2_10th,0.683034622243
TGO,2020-2040_tas_01__a2_10th,0.0403183004819
THA,2020-2040_tas_01__a2_10th,0.0877941588121
TJK,2020-2040_tas_01__a2_10th,0.995589647442
TKL,2020-2040_tas_01__a2_10th,0.759869396687
TKM,2020-2040_tas_01__a2_10th,0.546235723155
TLS,2020-2040_tas_01__a2_10th,0.645775151253
TON,2020-2040_tas_01__a2_10th,0.679837048054
TTO,2020-2040_tas_01__a2_10th,0.743420402209
TUN,2020-2040_tas_01__a2_10th,0.411173252389
TUR,2020-2040_tas_01__a2_10th,0.371597883395
TUV,2020-2040_tas_01__a2_10th,0.637247741222
TZA,2020-2040_tas_01__a2_10th,0.673828546372
UGA,2020-2040_tas_01__a2_10th,0.705475538969
UKR,2020-2040_tas_01__a2_10th,0.364234340592
URY,2020-2040_tas_01__a2_10th,0.498059888681
USA,2020-2040_tas_01__a2_10th,0.323844613205
UZB,2020-2040_tas_01__a2_10th,0.790283526245
VCT,2020-2040_tas_01__a2_10th,0.697204589844
VEN,2020-2040_tas_01__a2_10th,0.900201734744
VGB,2020-2040_tas_01__a2_10th,0.723492443562
VIR,2020-2040_tas_01__a2_10th,0.729486078024
VNM,2020-2040_tas_01__a2_10th,-0.0727137455414
VUT,2020-2040_tas_01__a2_10th,0.625719342913
WLF,2020-2040_tas_01__a2_10th,0.682861328125
WSM,2020-2040_tas_01__a2_10th,0.702648937702
YEM,2020-2040_tas_01__a2_10th,0.685620408683
