ISO_3DIGIT,Timeperiod_Variable_month_scenario_ensemble,Value
ABW,2020-2040_pr_01__a2_10th,4.2591843605
AFG,2020-2040_pr_01__a2_10th,15.1333107829
AGO,2020-2040_pr_01__a2_10th,91.9507333531
AIA,2020-2040_pr_01__a2_10th,24.0593929291
ALB,2020-2040_pr_01__a2_10th,58.150137121
AND,2020-2040_pr_01__a2_10th,33.4647331238
ANT,2020-2040_pr_01__a2_10th,5.43222403526
ARE,2020-2040_pr_01__a2_10th,0.454819952803
ARG,2020-2040_pr_01__a2_10th,35.0394728641
ARM,2020-2040_pr_01__a2_10th,33.4362782069
ASM,2020-2040_pr_01__a2_10th,206.597900391
ATG,2020-2040_pr_01__a2_10th,23.8362874985
AUS,2020-2040_pr_01__a2_10th,45.1731432421
AUT,2020-2040_pr_01__a2_10th,57.6439066435
AZE,2020-2040_pr_01__a2_10th,26.9035987377
BDI,2020-2040_pr_01__a2_10th,112.718911743
BEL,2020-2040_pr_01__a2_10th,77.9947422573
BEN,2020-2040_pr_01__a2_10th,0.224175623307
BFA,2020-2040_pr_01__a2_10th,0.0022427837537
BGD,2020-2040_pr_01__a2_10th,7.17802902631
BGR,2020-2040_pr_01__a2_10th,50.2868548075
BHR,2020-2040_pr_01__a2_10th,1.30989265442
BHS,2020-2040_pr_01__a2_10th,46.7378814221
BIH,2020-2040_pr_01__a2_10th,59.1343436608
BLR,2020-2040_pr_01__a2_10th,45.9036766578
BLZ,2020-2040_pr_01__a2_10th,20.6980757713
BMU,2020-2040_pr_01__a2_10th,96.5244903564
BOL,2020-2040_pr_01__a2_10th,138.515137495
BRA,2020-2040_pr_01__a2_10th,106.437562296
BRB,2020-2040_pr_01__a2_10th,23.812171936
BRN,2020-2040_pr_01__a2_10th,134.643188477
BTN,2020-2040_pr_01__a2_10th,7.37350400289
BWA,2020-2040_pr_01__a2_10th,84.234125284
CAF,2020-2040_pr_01__a2_10th,1.72993608994
CAN,2020-2040_pr_01__a2_10th,34.0881339498
CCK,2020-2040_pr_01__a2_10th,80.2806549072
CHE,2020-2040_pr_01__a2_10th,73.6583816529
CHL,2020-2040_pr_01__a2_10th,39.8292121108
CHN,2020-2040_pr_01__a2_10th,11.8726036872
CIV,2020-2040_pr_01__a2_10th,1.04540398493
CMR,2020-2040_pr_01__a2_10th,8.30076274048
COD,2020-2040_pr_01__a2_10th,88.9443320383
COG,2020-2040_pr_01__a2_10th,60.6360354042
COK,2020-2040_pr_01__a2_10th,130.3019104
COL,2020-2040_pr_01__a2_10th,45.5094475581
COM,2020-2040_pr_01__a2_10th,164.448944092
CPV,2020-2040_pr_01__a2_10th,0.824037581682
CRI,2020-2040_pr_01__a2_10th,3.99782762528
CUB,2020-2040_pr_01__a2_10th,34.6423499367
CXR,2020-2040_pr_01__a2_10th,161.379333496
CYM,2020-2040_pr_01__a2_10th,38.4113578796
