ISO_3DIGIT,Timeperiod_Variable_month_scenario_ensemble,Value
ABW,2020-2040_tas_01__a2_10th,23.9729614258
AFG,2020-2040_tas_01__a2_10th,-5.11968549093
AGO,2020-2040_tas_01__a2_10th,21.3349589628
AIA,2020-2040_tas_01__a2_10th,23.9552230835
ALB,2020-2040_tas_01__a2_10th,2.72858220881
AND,2020-2040_tas_01__a2_10th,6.6188659668
ANT,2020-2040_tas_01__a2_10th,24.0300598144
ARE,2020-2040_tas_01__a2_10th,14.5384608677
ARG,2020-2040_tas_01__a2_10th,18.4695670172
ARM,2020-2040_tas_01__a2_10th,-5.40153721401
ASM,2020-2040_tas_01__a2_10th,27.5685882568
ATG,2020-2040_tas_01__a2_10th,23.9776535035
AUS,2020-2040_tas_01__a2_10th,25.6933166867
AUT,2020-2040_tas_01__a2_10th,-3.14699835526
AZE,2020-2040_tas_01__a2_10th,-1.11838226318
BDI,2020-2040_tas_01__a2_10th,18.685256958
BEL,2020-2040_tas_01__a2_10th,1.65717097691
BEN,2020-2040_tas_01__a2_10th,19.9598469454
BFA,2020-2040_tas_01__a2_10th,18.0602178955
BGD,2020-2040_tas_01__a2_10th,13.8246438163
BGR,2020-2040_tas_01__a2_10th,-0.716729227702
BHR,2020-2040_tas_01__a2_10th,12.5623626709
BHS,2020-2040_tas_01__a2_10th,22.8851623535
BIH,2020-2040_tas_01__a2_10th,0.100239680363
BLR,2020-2040_tas_01__a2_10th,-9.81425686541
BLZ,2020-2040_tas_01__a2_10th,20.6798591614
BMU,2020-2040_tas_01__a2_10th,17.5963439941
BOL,2020-2040_tas_01__a2_10th,17.9889759128
BRA,2020-2040_tas_01__a2_10th,24.2348437092
BRB,2020-2040_tas_01__a2_10th,24.1131744385
BRN,2020-2040_tas_01__a2_10th,24.6132354736
BTN,2020-2040_tas_01__a2_10th,-0.114651997883
BWA,2020-2040_tas_01__a2_10th,22.5993265005
CAF,2020-2040_tas_01__a2_10th,20.7843448639
CAN,2020-2040_tas_01__a2_10th,-25.3821076582
CCK,2020-2040_tas_01__a2_10th,26.5373382568
CHE,2020-2040_tas_01__a2_10th,-2.19506327311
CHL,2020-2040_tas_01__a2_10th,12.388292979
CHN,2020-2040_tas_01__a2_10th,-12.3437857228
CIV,2020-2040_tas_01__a2_10th,22.2953294542
CMR,2020-2040_tas_01__a2_10th,20.3233327451
COD,2020-2040_tas_01__a2_10th,21.491938329
COG,2020-2040_tas_01__a2_10th,22.9592468262
COK,2020-2040_tas_01__a2_10th,26.3322479248
COL,2020-2040_tas_01__a2_10th,22.4276843601
COM,2020-2040_tas_01__a2_10th,27.0898895264
CPV,2020-2040_tas_01__a2_10th,20.5087000529
CRI,2020-2040_tas_01__a2_10th,24.6461227417
CUB,2020-2040_tas_01__a2_10th,23.0007712624
CXR,2020-2040_tas_01__a2_10th,27.4847717285
CYM,2020-2040_tas_01__a2_10th,24.221786499
CYP,2020-2040_tas_01__a2_10th,10.0911560059
CZE,2020-2040_tas_01__a2_10th,-3.19237473432
DEU,2020-2040_tas_01__a2_10th,-1.36419802296
DJI,2020-2040_tas_01__a2_10th,19.1752573649
DMA,2020-2040_tas_01__a2_10th,24.0872192383
DNK,2020-2040_tas_01__a2_10th,-2.00083287557
DOM,2020-2040_tas_01__a2_10th,23.9788284302
DZA,2020-2040_tas_01__a2_10th,7.83423360189
ECU,2020-2040_tas_01__a2_10th,21.3008329972
EGY,2020-2040_tas_01__a2_10th,10.5440840288
ERI,2020-2040_tas_01__a2_10th,19.5192710475
ESH,2020-2040_tas_01__a2_10th,13.7236118316
ESP,2020-2040_tas_01__a2_10th,6.77959854538
EST,2020-2040_tas_01__a2_10th,-11.0947761536
ETH,2020-2040_tas_01__a2_10th,19.1633220363
FIN,2020-2040_tas_01__a2_10th,-18.6431073276
FJI,2020-2040_tas_01__a2_10th,27.1051902771
FLK,2020-2040_tas_01__a2_10th,8.60455830892
FRA,2020-2040_tas_01__a2_10th,3.2778067287
FRO,2020-2040_tas_01__a2_10th,3.4112701416
FSM,2020-2040_tas_01__a2_10th,27.1260121663
GAB,2020-2040_tas_01__a2_10th,23.6239384969
GBR,2020-2040_tas_01__a2_10th,3.18131780624
GEO,2020-2040_tas_01__a2_10th,-3.73227030436
GHA,2020-2040_tas_01__a2_10th,22.2007862438
GIB,2020-2040_tas_01__a2_10th,9.41361999512
GIN,2020-2040_tas_01__a2_10th,21.3810187892
GLP,2020-2040_tas_01__a2_10th,24.0872192383
GMB,2020-2040_tas_01__a2_10th,21.2793273926
GNB,2020-2040_tas_01__a2_10th,22.6411115858
GNQ,2020-2040_tas_01__a2_10th,23.2964808146
GRC,2020-2040_tas_01__a2_10th,4.8246950422
GRD,2020-2040_tas_01__a2_10th,24.0442047119
GRL,2020-2040_tas_01__a2_10th,-32.6403583029
GTM,2020-2040_tas_01__a2_10th,20.8222999573
GUF,2020-2040_tas_01__a2_10th,24.7701568604
GUM,2020-2040_tas_01__a2_10th,25.4826049805
GUY,2020-2040_tas_01__a2_10th,23.9105981191
HND,2020-2040_tas_01__a2_10th,22.4686971029
HRV,2020-2040_tas_01__a2_10th,-0.174933539497
HTI,2020-2040_tas_01__a2_10th,23.9726028442
HUN,2020-2040_tas_01__a2_10th,-2.67696838379
IDN,2020-2040_tas_01__a2_10th,25.6381464062
IMY,2020-2040_tas_01__a2_10th,1.71113586426
IND,2020-2040_tas_01__a2_10th,13.0374734267
IOT,2020-2040_tas_01__a2_10th,27.4506072998
IRL,2020-2040_tas_01__a2_10th,3.56669029823
IRN,2020-2040_tas_01__a2_10th,1.6436041528
IRQ,2020-2040_tas_01__a2_10th,2.8428056505
ISL,2020-2040_tas_01__a2_10th,-6.95026906332
ISR,2020-2040_tas_01__a2_10th,7.07049560547
ITA,2020-2040_tas_01__a2_10th,4.20486268543
JAM,2020-2040_tas_01__a2_10th,24.7106399536
JOR,2020-2040_tas_01__a2_10th,4.97651672364
JPN,2020-2040_tas_01__a2_10th,1.15127342626
KAZ,2020-2040_tas_01__a2_10th,-12.3902717665
KEN,2020-2040_tas_01__a2_10th,21.8577515975
KGZ,2020-2040_tas_01__a2_10th,-12.9447991507
KHM,2020-2040_tas_01__a2_10th,21.9347896576
KIR,2020-2040_tas_01__a2_10th,24.8737411499
KNA,2020-2040_tas_01__a2_10th,23.8680877686
KOR,2020-2040_tas_01__a2_10th,-3.94001076439
KSV,2020-2040_tas_01__a2_10th,-0.155938042532
KWT,2020-2040_tas_01__a2_10th,7.78068033854
LAO,2020-2040_tas_01__a2_10th,13.447096726
LBN,2020-2040_tas_01__a2_10th,6.83976745605
LBR,2020-2040_tas_01__a2_10th,23.9283635066
LBY,2020-2040_tas_01__a2_10th,8.64449882507
LCA,2020-2040_tas_01__a2_10th,24.0377349853
LIE,2020-2040_tas_01__a2_10th,-3.24548339844
LKA,2020-2040_tas_01__a2_10th,25.3769866943
LSO,2020-2040_tas_01__a2_10th,17.9045982361
LTU,2020-2040_tas_01__a2_10th,-7.3732770284
LUX,2020-2040_tas_01__a2_10th,0.385269165039
LVA,2020-2040_tas_01__a2_10th,-9.42238956027
MAR,2020-2040_tas_01__a2_10th,8.36934214624
MCO,2020-2040_tas_01__a2_10th,3.91397094727
MDA,2020-2040_tas_01__a2_10th,-4.00378990173
MDG,2020-2040_tas_01__a2_10th,24.1965762052
MDV,2020-2040_tas_01__a2_10th,26.8311595917
MEX,2020-2040_tas_01__a2_10th,12.0553258825
MHL,2020-2040_tas_01__a2_10th,25.8456230164
MKD,2020-2040_tas_01__a2_10th,0.80923731187
MLI,2020-2040_tas_01__a2_10th,15.7392863612
MLT,2020-2040_tas_01__a2_10th,13.3114471436
MMR,2020-2040_tas_01__a2_10th,13.8411872277
MNE,2020-2040_tas_01__a2_10th,1.43093109131
MNG,2020-2040_tas_01__a2_10th,-22.9122812052
MNP,2020-2040_tas_01__a2_10th,25.057876587
MOZ,2020-2040_tas_01__a2_10th,24.3382911095
MRT,2020-2040_tas_01__a2_10th,15.0974802869
MSR,2020-2040_tas_01__a2_10th,24.0872192383
MTQ,2020-2040_tas_01__a2_10th,24.0377349853
MUS,2020-2040_tas_01__a2_10th,25.8115463257
MWI,2020-2040_tas_01__a2_10th,22.2753314972
MYS,2020-2040_tas_01__a2_10th,24.2842906952
MYT,2020-2040_tas_01__a2_10th,26.7070617676
NAM,2020-2040_tas_01__a2_10th,22.9705826441
NCL,2020-2040_tas_01__a2_10th,26.0690917969
NER,2020-2040_tas_01__a2_10th,12.698769668
NFK,2020-2040_tas_01__a2_10th,22.0394897461
NGA,2020-2040_tas_01__a2_10th,19.3208689196
NIC,2020-2040_tas_01__a2_10th,23.428030014
NIU,2020-2040_tas_01__a2_10th,26.827293396
NLD,2020-2040_tas_01__a2_10th,1.6869882436900001
NOR,2020-2040_tas_01__a2_10th,-12.204384626
NPL,2020-2040_tas_01__a2_10th,-3.22384707133
NRU,2020-2040_tas_01__a2_10th,25.603729248
NZL,2020-2040_tas_01__a2_10th,14.5110953195
OMN,2020-2040_tas_01__a2_10th,17.115784589
PAK,2020-2040_tas_01__a2_10th,0.77417592533
