ISO,Country,Data source,Sector,Gas,Unit,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
WORLD,World,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,50802.9,49775.4,49353.0,47002.2,49250.2,48853.1,47778.0,47047.5,47082.9,47216.1,46574.5,45884.5,45371.6,44624.3,42835.7,42894.6,42646.8,41871.7,40389.8,39432.9,37583.9,36571.9,35598.1,37124.3,36463.4,36466.9,36968.2,35584.2,35194.0,34392.9,34126.0,33953.0,34012.9,33864.7
CHN,China,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,13180.0,12677.3,12691.0,12107.0,11937.5,11683.0,11209.2,10973.1,11120.8,11279.7,11221.8,10742.8,10465.0,9971.68,9145.36,8579.21,8334.16,7741.96,7074.07,6298.83,5535.98,4867.5,4575.41,4379.04,4211.0,4278.47,4170.84,4181.35,4165.19,3764.57,3592.57,3348.83,3206.8,3059.8
USA,United States,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,5438.71,5642.49,5568.28,5026.98,5582.45,5699.1,5465.14,5511.58,5475.56,5577.0,5517.92,5368.03,5583.81,5743.93,5470.06,5887.5,6067.26,5959.92,6046.79,6025.92,5941.79,5873.62,6026.4,6135.59,5972.05,5970.76,5924.06,5663.62,5492.42,5425.4,5330.24,5219.86,5136.98,5183.62
IND,India,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,3978.72,3712.09,3465.62,3239.76,3409.21,3404.4,3286.34,3164.55,3185.21,3146.36,2958.55,2890.15,2734.88,2686.93,2569.71,2455.58,2340.68,2193.87,2095.09,2023.76,1934.25,1891.32,1872.67,1625.11,1585.03,1502.48,1472.64,1412.28,1363.59,1294.32,1244.99,1209.73,1186.06,1131.28
EUU,European Union (27),Climate Watch,Total including LULUCF,All GHG,MtCO₂e,3119.45,3354.19,3425.0,3057.09,3330.71,3478.13,3563.19,3543.72,3356.38,3303.68,3454.21,3536.11,3597.81,3705.96,3624.94,3893.52,3986.38,4024.91,4026.1,4053.62,4053.5,3964.59,3983.33,3945.12,3946.02,4024.57,4066.61,4144.1,4037.2,3984.57,3995.41,4075.22,4224.0,4292.16
BRA,Brazil,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,2125.81,2108.49,2110.41,1808.79,1804.9,1781.85,1822.03,1797.01,1448.43,1461.88,1422.44,1396.98,1351.55,2060.08,1951.39,1977.81,1977.55,1937.98,1949.83,1932.22,1882.39,1866.41,1826.41,2310.84,2309.03,2297.83,2261.46,2229.72,2227.97,2201.14,2184.21,2173.92,2163.68,2142.12
IDN,Indonesia,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,1572.78,1285.41,1236.55,1028.81,1446.78,1201.25,952.71,941.39,1777.62,1730.81,1371.59,1379.76,1339.19,805.24,1212.66,804.98,823.02,1399.08,967.36,1250.78,895.41,1241.83,745.41,1918.68,1999.7,2113.21,2905.11,1905.89,2050.03,2013.08,1990.11,1971.41,1946.46,1924.58
RUS,Russia,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,1320.61,1274.09,1290.18,1408.07,1485.47,1487.24,1395.55,1350.65,1280.63,1313.47,1320.69,1366.35,1383.84,1057.19,987.13,1115.67,1121.87,1112.42,1084.01,1053.13,1061.19,987.32,994.2,1101.72,1041.22,1015.67,1005.99,1151.32,1196.33,1271.74,1497.3,1682.68,1925.85,1987.92
IRN,Iran,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,1046.81,1005.7,979.36,918.77,901.68,864.56,873.29,842.14,801.7,804.57,781.47,760.46,761.91,747.82,743.57,722.45,715.97,685.91,645.95,606.59,571.57,534.21,521.36,510.8,482.24,448.41,448.21,430.67,414.87,405.74,366.35,359.08,338.36,310.79
JPN,Japan,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,1035.83,1080.55,1105.26,1053.17,1109.6,1145.18,1183.8,1196.02,1194.51,1231.41,1278.92,1263.47,1220.34,1079.77,1022.68,1082.02,1152.3,1118.62,1138.84,1132.24,1146.7,1141.05,1114.87,1218.49,1208.09,1182.08,1233.83,1248.92,1235.88,1214.72,1154.26,1158.97,1145.0,1127.32
CAN,Canada,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,876.71,857.49,844.67,853.88,915.42,924.28,905.4,886.62,789.43,794.57,785.36,771.16,770.69,948.32,929.3,964.53,986.5,954.45,963.46,949.32,958.85,936.13,914.29,774.53,756.07,756.13,738.25,726.28,704.75,688.52,669.84,672.9,658.41,662.43
SAU,Saudi Arabia,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,779.2,772.03,727.88,705.9,709.91,711.84,730.36,740.28,739.6,706.55,660.68,642.09,604.19,574.48,527.34,510.28,468.95,445.32,420.14,396.42,376.0,353.53,332.4,324.61,310.3,306.5,291.57,287.18,273.13,274.51,274.08,275.7,258.8,229.72
MEX,Mexico,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,731.3,708.29,677.05,665.12,717.92,703.7,720.49,722.64,679.25,664.5,669.2,683.59,677.72,610.85,593.8,605.23,600.24,587.63,566.81,541.35,532.61,503.78,491.97,580.33,553.35,570.36,536.53,511.87,492.35,512.95,485.97,467.42,464.29,444.67
DEU,Germany,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,669.68,732.33,742.6,720.02,774.0,825.29,855.33,872.03,814.4,809.5,850.31,835.11,822.03,878.07,847.17,904.37,901.5,930.6,922.31,944.24,962.37,961.62,978.38,927.26,935.0,972.98,994.6,1031.7,1007.15,1010.04,1019.35,1026.85,1071.33,1096.59
AUS,Australia,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,652.15,566.42,570.05,569.44,618.86,634.76,639.07,596.42,617.24,619.1,600.88,682.59,679.2,663.25,681.47,662.96,693.54,691.93,645.27,681.37,630.38,706.66,710.56,669.71,649.81,609.03,582.9,570.62,569.03,561.93,555.85,552.85,552.91,551.17
KOR,South Korea,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,642.71,659.44,673.73,643.18,685.4,709.69,684.4,657.92,648.41,633.89,647.4,646.77,649.36,609.61,547.73,536.6,522.32,504.89,496.55,499.81,478.85,466.04,448.19,451.32,416.02,377.12,443.47,421.61,394.09,365.59,339.77,309.54,284.46,255.82
PAK,Pakistan,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,561.97,550.46,586.03,569.57,536.28,532.03,534.39,509.05,493.28,476.93,461.25,446.11,440.21,426.49,429.81,414.62,409.71,388.96,365.89,353.35,332.38,319.04,309.03,301.46,295.5,278.66,271.4,261.27,250.31,235.68,227.09,213.13,199.32,194.74
TUR,Turkey,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,522.97,518.64,537.16,516.33,504.11,514.18,512.29,473.03,375.48,368.15,342.88,351.69,335.99,329.6,319.42,316.76,319.05,288.73,260.17,247.2,241.28,230.05,219.77,267.68,243.57,243.67,242.77,233.8,216.11,201.47,206.38,199.89,192.29,190.01
VNM,Vietnam,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,471.78,476.37,475.63,309.74,297.7,242.77,184.51,177.16,310.79,294.82,280.88,265.83,264.55,300.58,281.26,258.0,248.37,233.43,228.65,217.96,195.65,189.42,172.46,77.38,69.17,65.18,53.29,44.87,36.69,28.35,23.88,17.72,14.35,10.49
THA,Thailand,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,458.04,460.42,442.97,388.03,393.77,384.92,392.66,389.13,404.84,403.83,408.08,400.28,376.66,379.67,354.79,357.71,355.89,337.74,333.88,325.13,300.95,289.18,274.87,262.58,263.61,253.71,274.5,265.84,246.67,229.33,214.02,196.33,183.77,172.08
ARG,Argentina,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,435.37,450.46,430.56,425.53,439.85,442.72,444.61,440.4,457.07,451.27,453.65,446.35,440.64,466.48,462.47,483.64,479.7,467.91,453.87,449.86,432.62,409.8,411.2,389.85,391.56,383.61,379.81,374.69,363.2,359.83,356.23,355.27,349.98,345.68
ITA,Italy,Climate Watch,Total including LULUCF,All GHG,MtCO₂e,423.48,450.09,448.13,338.55,375.18,384.24,388.31,392.54,403.78,393.84,413.82,445.46,463.69,454.32,444.74,494.09,508.76,515.55,526.43,524.97,512.66,492.95,483.46,484.84,479.09,471.66,460.36,456.19,460.05,434.69,439.5,445.49,448.32,450.97
